Grey,Luminance,LuminanceR,Label
90.3747463768116,90.36862806521737,89.3139405826087,1
90.77592753623189,90.76991311594202,89.71744288260871,1
90.68629710144927,90.68030189130434,89.60996893478261,1
90.58838405797101,90.58496129710143,89.51477104782607,1
90.5992536231884,90.59196918115941,89.52727839565217,1
90.57619565217391,90.57126095652173,89.50779732318841,1
90.57471739130435,90.565764442029,89.50366569130438,1
90.53139855072463,90.52697776811594,89.47350471594206,1
90.42866666666667,90.42603428260867,89.37405772608697,1
90.41428985507247,90.41041207246376,89.35762295942027,1
90.45215942028986,90.44595945652172,89.39847024347826,1
90.47126811594202,90.46655355072464,89.42227434202898,1
90.42471014492753,90.41510442028985,89.36715385072465,1
90.34510144927536,90.3370562173913,89.29796013478263,1
90.41194927536232,90.4080464637681,89.35704914202898,1
90.45830434782609,90.44832733333334,89.39695937101447,1
90.45710869565217,90.44982049999999,89.39495338695653,1
90.40123913043479,90.39322107246376,89.33597415797101,1
90.35339855072463,90.34899563043477,89.28711269710143,1
90.21625362318841,90.2111348115942,89.16938594057972,1
90.13949275362319,90.13614857246377,89.09756617971014,1
90.00861594202898,90.00077958695651,88.96125966231884,1
89.95452173913043,89.95069785507246,88.93374810724637,1
89.87989130434782,89.87084581159418,88.82477961159421,1
89.77821739130435,89.76973363768116,88.7298108173913,1
89.52923188405796,89.52293600724636,88.50364018550724,1
89.35738405797102,89.35074213043477,88.3308443884058,1
89.05965942028986,89.04640957246376,88.01329533913044,1
88.939,88.93161451449278,87.88698053768117,1
88.92282608695652,88.92230659420291,87.89218474637683,1
88.94053623188405,88.93423331884055,87.89963488405796,1
88.86028985507247,88.85527731884058,87.81464451014493,1
88.77657971014493,88.76952684057969,87.73757783623188,1
88.66666666666667,88.65640911594204,87.62028466231884,1
88.48007971014492,88.47138036231881,87.42497934347826,1
88.40160144927536,88.39690547826085,87.36642797826086,1
88.3969927536232,88.39015400724638,87.35928531739131,1
88.36353623188405,88.35591160869566,87.34238290289855,1
88.36802898550725,88.36190542028986,87.34214149275363,1
88.21948550724638,88.21378214492754,87.19985277246377,1
88.18412318840579,88.17693813768118,87.16580955652172,1
88.19184782608696,88.18384988405798,87.15061598550722,1
88.15249275362319,88.14628626086957,87.12649006811594,1
88.19651449275362,88.19504431159422,87.15539517826086,1
88.31099275362318,88.30595600000001,87.27561079275361,1
88.50934782608695,88.50099862318841,87.46783799130435,1
88.66844202898551,88.66294580434781,87.62057250000002,1
88.84836231884059,88.84270176086956,87.80993079420288,1
89.00436231884058,88.99626439855075,87.96214197246377,1
89.09885507246376,89.09414585507245,88.04969846231884,1
89.26200724637681,89.258173057971,88.21797253333334,1
89.43321739130435,89.42661470289855,88.39949339710144,1
89.60495652173913,89.59978028985508,88.55978119855072,1
89.7242536231884,89.71684761594203,88.67658467391304,1
89.90470289855072,89.90032881884058,88.8573794536232,1
90.12557971014493,90.11947112318839,89.09628560724636,1
90.26802173913043,90.26321386956519,89.22602823188406,1
90.31377536231884,90.30739163043478,89.26540584057972,1
90.39621739130435,90.38716173913043,89.34275849275363,1
90.53202898550725,90.5258830289855,89.47357315072463,1
90.66985507246376,90.65885209420289,89.59459187246377,1
90.70115217391304,90.69332163043477,89.62978828985509,1
90.71997101449276,90.71296226086955,89.65935850144928,1
